County_subdivision,Total_population,NonHispanic_White,NonHispanic_Black,Hispanic,NonHispanic_AIAN,NonHispanic_Asian,NonHispanic_NHPI,NonHispanic_Some_Other_Race,NonHispanic_Two_Or_More_Races,Nonwhite
Adamstown borough,144,70,10,44,1,-28,3,3,41,74
Akron borough,276,-5,46,126,5,-3,0,7,100,281
Bart township,87,0,-5,44,-1,3,0,10,36,87
Brecknock township,358,68,27,104,1,20,3,26,109,290
Caernarvon township,-139,-217,-4,18,-2,-8,4,-1,71,78
Christiana borough,-56,-39,-40,-7,-2,0,-1,9,24,-17
Clay township,549,261,61,88,-6,48,3,22,72,288
Colerain township,248,209,-6,8,8,-6,-2,2,35,39
Columbia borough,-193,-1377,128,860,1,15,0,51,129,1184
Conestoga township,138,-24,-6,65,2,1,0,5,95,162
Conoy township,167,26,9,68,2,0,-1,5,58,141
Denver borough,-69,-270,15,93,-8,30,1,8,62,201
Drumore township,1,-25,3,0,-2,3,0,6,16,26
Earl township,120,-70,-5,124,-2,9,4,1,59,190
East Cocalico township,457,64,2,162,0,22,-2,10,199,393
East Donegal township,929,373,93,242,-5,3,-2,36,189,556
East Drumore township,145,50,4,46,-4,-5,-8,13,49,95
East Earl township,192,33,9,79,8,10,1,6,46,159
East Hempfield township,2782,457,293,1038,3,504,-6,62,431,2325
East Lampeter township,1352,-289,351,856,12,112,4,30,276,1641
East Petersburg borough,67,-270,54,196,-4,6,0,24,61,337
Eden township,145,104,-1,11,2,-6,0,6,29,41
Elizabeth township,99,-68,-3,66,-4,16,0,24,68,167
Elizabethtown borough,94,-705,131,298,-11,83,-4,37,265,799
Ephrata borough,400,-550,76,504,13,2,4,34,317,950
Ephrata township,986,403,90,272,0,60,2,18,141,583
Fulton township,140,11,-14,71,-2,2,0,12,60,129
Lancaster city,-1283,-1845,-514,12,-107,488,-7,219,471,562
Lancaster township,2493,-1191,631,2214,4,449,0,64,322,3684
Leacock township,432,313,-9,84,-11,10,-1,6,40,119
Lititz borough,12,-436,62,216,-12,46,0,27,109,448
Little Britain township,12,-130,10,74,-1,-4,1,9,53,142
Manheim borough,188,-228,35,252,12,7,0,21,89,416
Manheim township,5844,1626,552,1570,14,1115,0,151,816,4218
Manor township,2237,-276,348,1237,-17,433,-2,76,438,2513
Marietta borough,35,-79,14,35,0,3,-1,3,60,114
Martic township,31,-197,12,74,7,11,-1,11,114,228
Millersville borough,-265,-1044,79,365,-4,173,-2,17,151,779
Mount Joy borough,915,439,65,247,-2,40,2,7,117,476
Mount Joy township,848,304,46,228,-1,51,0,17,203,544
Mountville borough,215,-85,40,169,8,16,1,15,51,300
New Holland borough,365,37,14,185,-2,1,-1,24,107,328
Paradise township,541,270,44,159,-4,9,-2,-7,72,271
Penn township,1421,898,30,221,-9,63,12,3,203,523
Pequea township,869,311,86,297,-1,22,0,25,129,558
Providence township,98,-156,0,103,-2,-5,-4,2,160,254
Quarryville borough,267,33,21,149,-1,7,0,-1,59,234
Rapho township,1582,1140,63,141,0,45,-1,28,166,442
Sadsbury township,141,1,18,38,0,-4,0,18,70,140
Salisbury township,432,82,28,197,-4,13,1,30,85,350
Strasburg borough,308,80,24,99,1,25,0,9,70,228
Strasburg township,275,154,8,55,1,-1,-1,16,43,121
Terre Hill borough,62,6,11,31,0,-10,1,6,17,56
Upper Leacock township,213,-382,126,364,0,-11,-1,23,94,595
Warwick township,1239,390,24,336,-8,99,1,70,327,849
West Cocalico township,176,-42,23,124,3,-3,1,9,61,218
West Donegal township,684,287,53,161,-3,22,2,24,138,397
West Earl township,692,227,42,189,6,35,-1,8,186,465
West Hempfield township,867,-345,38,703,-15,117,1,30,338,1212
West Lampeter township,2174,1262,107,436,7,58,1,48,255,912
