County_subdivision,Total_population
"Adamstown borough, Lancaster County, Pennsylvania",1772
"Akron borough, Lancaster County, Pennsylvania",3876
"Bart township, Lancaster County, Pennsylvania",3094
"Brecknock township, Lancaster County, Pennsylvania",7199
"Caernarvon township, Lancaster County, Pennsylvania",4748
"Christiana borough, Lancaster County, Pennsylvania",1168
"Clay township, Lancaster County, Pennsylvania",6308
"Colerain township, Lancaster County, Pennsylvania",3635
"Columbia borough, Lancaster County, Pennsylvania",10400
"Conestoga township, Lancaster County, Pennsylvania",3776
"Conoy township, Lancaster County, Pennsylvania",3194
"Denver borough, Lancaster County, Pennsylvania",3861
"Drumore township, Lancaster County, Pennsylvania",2560
"Earl township, Lancaster County, Pennsylvania",7024
"East Cocalico township, Lancaster County, Pennsylvania",10310
"East Donegal township, Lancaster County, Pennsylvania",7755
"East Drumore township, Lancaster County, Pennsylvania",3791
"East Earl township, Lancaster County, Pennsylvania",6507
"East Hempfield township, Lancaster County, Pennsylvania",23522
"East Lampeter township, Lancaster County, Pennsylvania",16424
"East Petersburg borough, Lancaster County, Pennsylvania",4506
"Eden township, Lancaster County, Pennsylvania",2094
"Elizabeth township, Lancaster County, Pennsylvania",3886
"Elizabethtown borough, Lancaster County, Pennsylvania",11545
"Ephrata borough, Lancaster County, Pennsylvania",13394
"Ephrata township, Lancaster County, Pennsylvania",9400
"Fulton township, Lancaster County, Pennsylvania",3074
"Lancaster city, Lancaster County, Pennsylvania",59322
"Lancaster township, Lancaster County, Pennsylvania",16149
"Leacock township, Lancaster County, Pennsylvania",5220
"Lititz borough, Lancaster County, Pennsylvania",9369
"Little Britain township, Lancaster County, Pennsylvania",4106
"Manheim borough, Lancaster County, Pennsylvania",4858
"Manheim township, Lancaster County, Pennsylvania",38133
"Manor township, Lancaster County, Pennsylvania",19612
"Marietta borough, Lancaster County, Pennsylvania",2588
"Martic township, Lancaster County, Pennsylvania",5190
"Millersville borough, Lancaster County, Pennsylvania",8168
"Mount Joy borough, Lancaster County, Pennsylvania",7410
"Mount Joy township, Lancaster County, Pennsylvania",9873
"Mountville borough, Lancaster County, Pennsylvania",2802
"New Holland borough, Lancaster County, Pennsylvania",5378
"Paradise township, Lancaster County, Pennsylvania",5131
"Penn township, Lancaster County, Pennsylvania",8789
"Pequea township, Lancaster County, Pennsylvania",4605
"Providence township, Lancaster County, Pennsylvania",6897
"Quarryville borough, Lancaster County, Pennsylvania",2576
"Rapho township, Lancaster County, Pennsylvania",10442
"Sadsbury township, Lancaster County, Pennsylvania",3395
"Salisbury township, Lancaster County, Pennsylvania",11062
"Strasburg borough, Lancaster County, Pennsylvania",2809
"Strasburg township, Lancaster County, Pennsylvania",4182
"Terre Hill borough, Lancaster County, Pennsylvania",1295
"Upper Leacock township, Lancaster County, Pennsylvania",8708
"Warwick township, Lancaster County, Pennsylvania",17783
"West Cocalico township, Lancaster County, Pennsylvania",7280
"West Donegal township, Lancaster County, Pennsylvania",8260
"West Earl township, Lancaster County, Pennsylvania",7868
"West Hempfield township, Lancaster County, Pennsylvania",16153
"West Lampeter township, Lancaster County, Pennsylvania",15209
