County_subdivision,Total_population,NonHispanic_White,NonHispanic_Black,Hispanic,NonHispanic_AIAN,NonHispanic_Asian,NonHispanic_NHPI,NonHispanic_Some_Other_Race,NonHispanic_Two_Or_More_Races,Nonwhite
Adamstown borough,1772,1616,20,30,0,78,1,0,27,156
Akron borough,3876,3575,46,153,5,59,0,3,35,301
Bart township,3094,3033,17,27,1,3,0,4,9,61
Brecknock township,7199,6933,25,107,6,90,2,0,36,266
Caernarvon township,4748,4621,22,56,6,21,0,5,17,127
Christiana borough,1168,990,67,79,2,4,1,0,25,178
Clay township,6308,5958,33,152,7,102,0,6,50,350
Colerain township,3635,3472,25,80,3,20,2,0,33,163
Columbia borough,10400,8662,471,938,19,60,0,5,245,1738
Conestoga township,3776,3613,23,79,7,24,0,3,27,163
Conoy township,3194,3085,20,52,7,3,1,0,26,109
Denver borough,3861,3554,30,162,9,57,0,0,49,307
Drumore township,2560,2486,4,44,3,3,0,0,20,74
Earl township,7024,6752,43,127,2,64,0,8,28,272
East Cocalico township,10310,9753,83,189,10,212,2,3,58,557
East Donegal township,7755,7196,132,251,6,61,4,5,100,559
East Drumore township,3791,3669,16,62,4,6,8,1,25,122
East Earl township,6507,6211,52,132,8,71,0,5,28,296
East Hempfield township,23522,20134,588,1625,15,824,6,27,303,3388
East Lampeter township,16424,13328,654,1500,14,668,5,27,228,3096
East Petersburg borough,4506,3908,130,309,7,54,0,6,92,598
Eden township,2094,2045,5,28,0,11,0,0,5,49
Elizabeth township,3886,3787,23,32,4,17,0,2,21,99
Elizabethtown borough,11545,10734,133,381,17,132,7,6,135,811
Ephrata borough,13394,12218,109,693,19,170,0,7,178,1176
Ephrata township,9400,8756,83,291,9,173,1,2,85,644
Fulton township,3074,2930,45,64,6,4,0,0,25,144
Lancaster city,59322,24501,7869,23329,172,1729,17,81,1624,34821
Lancaster township,16149,10964,1304,3117,25,405,3,23,308,5185
Leacock township,5220,5066,27,71,15,19,5,2,15,154
Lititz borough,9369,8659,105,345,15,111,2,14,118,710
Little Britain township,4106,3953,22,97,1,11,0,0,22,153
Manheim borough,4858,4520,38,165,0,54,0,0,81,338
Manheim township,38133,32160,1031,2498,16,1883,3,37,505,5973
Manor township,19612,17352,414,1230,33,324,6,29,224,2260
Marietta borough,2588,2377,52,114,3,6,1,2,33,211
Martic township,5190,5051,8,86,8,4,1,0,32,139
Millersville borough,8168,7227,385,351,13,98,3,5,86,941
Mount Joy borough,7410,6508,159,549,12,55,0,1,126,902
Mount Joy township,9873,9255,92,288,12,95,0,16,115,618
Mountville borough,2802,2449,100,145,4,62,1,0,41,353
New Holland borough,5378,4530,142,439,13,162,1,6,85,848
Paradise township,5131,4864,49,142,4,9,2,7,54,267
Penn township,8789,8303,85,206,9,113,1,18,54,486
Pequea township,4605,4364,50,123,4,32,1,6,25,241
Providence township,6897,6634,50,136,20,13,6,5,33,263
Quarryville borough,2576,2367,28,121,3,16,0,5,36,209
Rapho township,10442,9932,76,242,7,115,1,3,66,510
Sadsbury township,3395,3311,13,38,0,7,0,0,26,84
Salisbury township,11062,10603,100,208,9,46,0,3,93,459
Strasburg borough,2809,2657,19,74,0,20,0,0,39,152
Strasburg township,4182,4060,9,62,0,23,1,2,25,122
Terre Hill borough,1295,1230,9,27,1,18,0,0,10,65
Upper Leacock township,8708,7655,97,538,6,320,1,7,84,1053
Warwick township,17783,16731,189,514,11,168,3,16,151,1052
West Cocalico township,7280,7032,34,105,4,40,0,4,61,248
West Donegal township,8260,7966,55,122,3,57,0,4,53,294
West Earl township,7868,7334,56,232,4,175,3,8,56,534
West Hempfield township,16153,14087,395,1100,25,328,2,16,200,2066
West Lampeter township,15209,14248,126,473,10,217,4,3,128,961
