County_subdivision,Total_population,NonHispanic_White_percentage,NonHispanic_Black_percentage,Hispanic_percentage,NonHispanic_AIAN_percentage,NonHispanic_Asian_percentage,NonHispanic_NHPI_percentage,NonHispanic_Someotherrace_percentage,NonHispanic_Twoormoreraces_percentage,Nonwhite_percentage
Adamstown borough,1772,91.2,1.1,1.7,0,4.4,0.1,0,1.5,8.799999999999997
Akron borough,3876,92.2,1.2,3.9,0.1,1.5,0,0.1,0.9,7.799999999999997
Bart township,3094,98,0.5,0.9,0,0.1,0,0.1,0.3,2
Brecknock township,7199,96.3,0.3,1.5,0.1,1.3,0,0,0.5,3.700000000000003
Caernarvon township,4748,97.3,0.5,1.2,0.1,0.4,0,0.1,0.4,2.700000000000003
Christiana borough,1168,84.8,5.7,6.8,0.2,0.3,0.1,0,2.1,15.200000000000003
Clay township,6308,94.5,0.5,2.4,0.1,1.6,0,0.1,0.8,5.5
Colerain township,3635,95.5,0.7,2.2,0.1,0.6,0.1,0,0.9,4.5
Columbia borough,10400,83.3,4.5,9,0.2,0.6,0,0,2.4,16.700000000000003
Drumore township,2560,97.1,0.2,1.7,0.1,0.1,0,0,0.8,2.9000000000000057
Conestoga township,3776,95.7,0.6,2.1,0.2,0.6,0,0.1,0.7,4.299999999999997
Conoy township,3194,96.6,0.6,1.6,0.2,0.1,0,0,0.8,3.4000000000000057
Denver borough,3861,92,0.8,4.2,0.2,1.5,0,0,1.3,8
Earl township,7024,96.1,0.6,1.8,0,0.9,0,0.1,0.4,3.9000000000000057
East Cocalico township,10310,94.6,0.8,1.8,0.1,2.1,0,0,0.6,5.400000000000006
East Donegal township,7755,92.8,1.7,3.2,0.1,0.8,0.1,0.1,1.3,7.200000000000003
East Drumore township,3791,96.8,0.4,1.6,0.1,0.2,0.2,0,0.7,3.200000000000003
East Earl township,6507,95.5,0.8,2,0.1,1.1,0,0.1,0.4,4.5
East Hempfield township,23522,85.6,2.5,6.9,0.1,3.5,0,0.1,1.3,14.400000000000006
East Lampeter township,16424,81.1,4,9.1,0.1,4.1,0,0.2,1.4,18.900000000000006
East Petersburg borough,4506,86.7,2.9,6.9,0.2,1.2,0,0.1,2,13.299999999999997
Eden township,2094,97.7,0.2,1.3,0,0.5,0,0,0.2,2.299999999999997
Elizabeth township,3886,97.5,0.6,0.8,0.1,0.4,0,0.1,0.5,2.5
Elizabethtown borough,11545,93,1.2,3.3,0.1,1.1,0.1,0.1,1.2,7
Ephrata borough,13394,91.2,0.8,5.2,0.1,1.3,0,0.1,1.3,8.799999999999997
Ephrata township,9400,93.1,0.9,3.1,0.1,1.8,0,0,0.9,6.900000000000006
Fulton township,3074,95.3,1.5,2.1,0.2,0.1,0,0,0.8,4.700000000000003
Lititz borough,9369,92.4,1.1,3.7,0.2,1.2,0,0.1,1.3,7.599999999999994
Leacock township,5220,97,0.5,1.4,0.3,0.4,0.1,0,0.3,3
Lancaster city,59322,41.3,13.3,39.3,0.3,2.9,0,0.1,2.7,58.7
Lancaster township,16149,67.9,8.1,19.3,0.2,2.5,0,0.1,1.9,32.099999999999994
Little Britain township,4106,96.3,0.5,2.4,0,0.3,0,0,0.5,3.700000000000003
Manheim borough,4858,93,0.8,3.4,0,1.1,0,0,1.7,7
Manheim township,38133,84.3,2.7,6.6,0,4.9,0,0.1,1.3,15.700000000000003
Manor township,19612,88.5,2.1,6.3,0.2,1.7,0,0.1,1.1,11.5
Marietta borough,2588,91.8,2,4.4,0.1,0.2,0,0.1,1.3,8.200000000000003
Martic township,5190,97.3,0.2,1.7,0.2,0.1,0,0,0.6,2.700000000000003
Millersville borough,8168,88.5,4.7,4.3,0.2,1.2,0,0.1,1.1,11.5
Mount Joy borough,7410,87.8,2.1,7.4,0.2,0.7,0,0,1.7,12.200000000000003
Mount Joy township,9873,93.7,0.9,2.9,0.1,1,0,0.2,1.2,6.299999999999997
Mountville borough,2802,87.4,3.6,5.2,0.1,2.2,0,0,1.5,12.599999999999994
New Holland borough,5378,84.2,2.6,8.2,0.2,3,0,0.1,1.6,15.799999999999997
Paradise township,5131,94.8,1,2.8,0.1,0.2,0,0.1,1.1,5.200000000000003
Penn township,8789,94.5,1,2.3,0.1,1.3,0,0.2,0.6,5.5
Pequea township,4605,94.8,1.1,2.7,0.1,0.7,0,0.1,0.5,5.200000000000003
Sadsbury township,3395,97.5,0.4,1.1,0,0.2,0,0,0.8,2.5
Providence township,6897,96.2,0.7,2,0.3,0.2,0.1,0.1,0.5,3.799999999999997
Quarryville borough,2576,91.9,1.1,4.7,0.1,0.6,0,0.2,1.4,8.099999999999994
Rapho township,10442,95.1,0.7,2.3,0.1,1.1,0,0,0.6,4.900000000000006
Salisbury township,11062,95.9,0.9,1.9,0.1,0.4,0,0,0.8,4.099999999999994
Strasburg borough,2809,94.6,0.7,2.6,0,0.7,0,0,1.4,5.400000000000006
Strasburg township,4182,97.1,0.2,1.5,0,0.5,0,0,0.6,2.9000000000000057
Terre Hill borough,1295,95,0.7,2.1,0.1,1.4,0,0,0.8,5
Upper Leacock township,8708,87.9,1.1,6.2,0.1,3.7,0,0.1,1,12.099999999999994
Warwick township,17783,94.1,1.1,2.9,0.1,0.9,0,0.1,0.8,5.900000000000006
West Cocalico township,7280,96.6,0.5,1.4,0.1,0.5,0,0.1,0.8,3.4000000000000057
West Donegal township,8260,96.4,0.7,1.5,0,0.7,0,0,0.6,3.5999999999999943
West Earl township,7868,93.2,0.7,2.9,0.1,2.2,0,0.1,0.7,6.799999999999997
West Hempfield township,16153,87.2,2.4,6.8,0.2,2,0,0.1,1.2,12.799999999999997
West Lampeter township,15209,93.7,0.8,3.1,0.1,1.4,0,0,0.8,6.299999999999997
